Sensor,Volcan,Timestamp_Imagen,Estado,Snapshot,Minuto_Captura
VIIRS,Lascar,2026-01-19 05:54:01,EN_BLACKBOX,2026-01-19/latest_20260119_140237.html,2026-01-19 05:54:01
VIIRS,Lascar,2026-01-19 05:30:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Lascar,2026-01-18 18:36:01,EN_BLACKBOX,2026-01-19/latest_20260119_080331.html,2026-01-18 18:36:01
VIIRS,Lascar,2026-01-18 18:18:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Lascar,2026-01-18 06:12:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Lascar,2026-01-18 05:48:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Lascar,2026-01-17 19:00:01,EN_BLACKBOX,2026-01-17/latest_20260117_223235.html,2026-01-17 19:00:01
VIIRS,Lascar,2026-01-17 18:36:00,EN_BLACKBOX,2026-01-17/latest_20260117_213332.html,2026-01-17 18:36:00
VIIRS,Lascar,2026-01-17 17:18:01,EN_BLACKBOX,2026-01-17/latest_20260117_200134.html,2026-01-17 17:18:01
VIIRS,Lascar,2026-01-17 06:30:01,EN_BLACKBOX,2026-01-17/latest_20260117_101735.html,2026-01-17 06:30:01
VIIRS,ChillanNevadosde,2026-01-19 05:54:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,ChillanNevadosde,2026-01-19 05:36:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,ChillanNevadosde,2026-01-18 18:36:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,ChillanNevadosde,2026-01-18 05:54:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,ChillanNevadosde,2026-01-18 04:36:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,ChillanNevadosde,2026-01-17 18:54:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,ChillanNevadosde,2026-01-17 06:36:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,ChillanNevadosde,2026-01-17 06:12:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Villarrica,2026-01-19 05:54:01,EN_BLACKBOX,2026-01-19/latest_20260119_140237.html,2026-01-19 05:54:01
VIIRS,Villarrica,2026-01-19 05:36:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Villarrica,2026-01-18 19:54:00,EN_BLACKBOX,2026-01-19/latest_20260119_100241.html,2026-01-18 19:54:00
VIIRS,Villarrica,2026-01-18 18:36:01,EN_BLACKBOX,2026-01-19/latest_20260119_080331.html,2026-01-18 18:36:01
VIIRS,Villarrica,2026-01-18 18:12:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Villarrica,2026-01-18 06:18:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Villarrica,2026-01-18 05:54:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Villarrica,2026-01-18 04:36:01,EN_BLACKBOX,2026-01-18/latest_20260118_233934.html,2026-01-18 04:36:01
VIIRS,Villarrica,2026-01-17 18:54:01,EN_BLACKBOX,2026-01-17/latest_20260117_223235.html,2026-01-17 18:54:01
VIIRS,Villarrica,2026-01-17 18:30:00,EN_BLACKBOX,2026-01-17/latest_20260117_213332.html,2026-01-17 18:30:00
VIIRS,Copahue,2026-01-19 05:54:01,EN_BLACKBOX,2026-01-19/latest_20260119_140237.html,2026-01-19 05:54:01
VIIRS,Copahue,2026-01-19 05:36:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Copahue,2026-01-18 19:54:00,EN_BLACKBOX,2026-01-19/latest_20260119_100241.html,2026-01-18 19:54:00
VIIRS,Copahue,2026-01-18 18:36:01,EN_BLACKBOX,2026-01-19/latest_20260119_080331.html,2026-01-18 18:36:01
VIIRS,Copahue,2026-01-18 18:12:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Copahue,2026-01-18 05:54:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Copahue,2026-01-18 04:36:01,EN_BLACKBOX,2026-01-18/latest_20260118_233934.html,2026-01-18 04:36:01
VIIRS,Copahue,2026-01-17 18:54:01,EN_BLACKBOX,2026-01-17/latest_20260117_221733.html,2026-01-17 18:54:01
VIIRS,Copahue,2026-01-17 18:30:00,EN_BLACKBOX,2026-01-17/latest_20260117_213332.html,2026-01-17 18:30:00
VIIRS,Copahue,2026-01-17 06:36:01,EN_BLACKBOX,2026-01-17/latest_20260117_101735.html,2026-01-17 06:36:01
VIIRS,Lastarria,2026-01-19 05:54:01,EN_BLACKBOX,2026-01-19/latest_20260119_140237.html,2026-01-19 05:54:01
VIIRS,Lastarria,2026-01-19 05:30:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Lastarria,2026-01-18 18:36:01,EN_BLACKBOX,2026-01-19/latest_20260119_080331.html,2026-01-18 18:36:01
VIIRS,Lastarria,2026-01-18 18:18:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Lastarria,2026-01-18 06:12:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Lastarria,2026-01-18 05:48:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Lastarria,2026-01-17 18:54:01,EN_BLACKBOX,2026-01-17/latest_20260117_221733.html,2026-01-17 18:54:01
VIIRS,Lastarria,2026-01-17 18:36:00,EN_BLACKBOX,2026-01-17/latest_20260117_213332.html,2026-01-17 18:36:00
VIIRS,Lastarria,2026-01-17 17:18:01,EN_BLACKBOX,2026-01-17/latest_20260117_201731.html,2026-01-17 17:18:01
VIIRS,Lastarria,2026-01-17 06:30:01,EN_BLACKBOX,2026-01-17/latest_20260117_101735.html,2026-01-17 06:30:01
VIIRS,PuyehueCordonCaulle,2026-01-19 05:36:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,PuyehueCordonCaulle,2026-01-18 19:54:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,PuyehueCordonCaulle,2026-01-18 18:36:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,PuyehueCordonCaulle,2026-01-18 18:12:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,PuyehueCordonCaulle,2026-01-18 06:18:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,PuyehueCordonCaulle,2026-01-18 05:54:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,PuyehueCordonCaulle,2026-01-18 04:36:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,PuyehueCordonCaulle,2026-01-17 18:54:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,PuyehueCordonCaulle,2026-01-17 18:30:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,PuyehueCordonCaulle,2026-01-17 06:36:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,PlanchonPeteroa,2026-01-19 05:54:01,EN_BLACKBOX,2026-01-19/latest_20260119_140237.html,2026-01-19 05:54:01
VIIRS,PlanchonPeteroa,2026-01-19 05:36:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,PlanchonPeteroa,2026-01-18 18:36:01,EN_BLACKBOX,2026-01-19/latest_20260119_080331.html,2026-01-18 18:36:01
VIIRS,PlanchonPeteroa,2026-01-18 18:12:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,PlanchonPeteroa,2026-01-18 06:12:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,PlanchonPeteroa,2026-01-18 05:54:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,PlanchonPeteroa,2026-01-18 04:36:01,EN_BLACKBOX,2026-01-18/latest_20260118_233934.html,2026-01-18 04:36:01
VIIRS,PlanchonPeteroa,2026-01-17 18:54:01,EN_BLACKBOX,2026-01-17/latest_20260117_221733.html,2026-01-17 18:54:01
VIIRS,PlanchonPeteroa,2026-01-17 18:36:00,EN_BLACKBOX,2026-01-17/latest_20260117_213332.html,2026-01-17 18:36:00
VIIRS,PlanchonPeteroa,2026-01-17 06:36:01,EN_BLACKBOX,2026-01-17/latest_20260117_101735.html,2026-01-17 06:36:01
VIIRS,Llaima,2026-01-19 05:54:01,EN_BLACKBOX,2026-01-19/latest_20260119_140237.html,2026-01-19 05:54:01
VIIRS,Llaima,2026-01-19 05:36:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Llaima,2026-01-18 19:54:00,EN_BLACKBOX,2026-01-19/latest_20260119_100241.html,2026-01-18 19:54:00
VIIRS,Llaima,2026-01-18 18:36:01,EN_BLACKBOX,2026-01-19/latest_20260119_080331.html,2026-01-18 18:36:01
VIIRS,Llaima,2026-01-18 18:12:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Llaima,2026-01-18 06:18:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Llaima,2026-01-18 05:54:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Llaima,2026-01-18 04:36:01,EN_BLACKBOX,2026-01-18/latest_20260118_233934.html,2026-01-18 04:36:01
VIIRS,Llaima,2026-01-17 18:54:01,EN_BLACKBOX,2026-01-17/latest_20260117_223235.html,2026-01-17 18:54:01
VIIRS,Llaima,2026-01-17 18:30:00,EN_BLACKBOX,2026-01-17/latest_20260117_213332.html,2026-01-17 18:30:00
VIIRS,Chaiten,2026-01-19 06:00:01,EN_BLACKBOX,2026-01-19/latest_20260119_140237.html,2026-01-19 06:00:01
VIIRS,Chaiten,2026-01-19 05:36:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Chaiten,2026-01-18 19:54:00,EN_BLACKBOX,2026-01-19/latest_20260119_100241.html,2026-01-18 19:54:00
VIIRS,Chaiten,2026-01-18 18:36:01,EN_BLACKBOX,2026-01-19/latest_20260119_080331.html,2026-01-18 18:36:01
VIIRS,Chaiten,2026-01-18 18:12:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Chaiten,2026-01-18 06:18:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Chaiten,2026-01-18 05:54:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Chaiten,2026-01-18 04:36:01,EN_BLACKBOX,2026-01-18/latest_20260118_233934.html,2026-01-18 04:36:01
VIIRS,Chaiten,2026-01-17 20:12:00,EN_BLACKBOX,2026-01-17/latest_20260117_231729.html,2026-01-17 20:12:00
VIIRS,Chaiten,2026-01-17 18:54:01,EN_BLACKBOX,2026-01-17/latest_20260117_223235.html,2026-01-17 18:54:01
VIIRS,Isluga,2026-01-19 05:48:01,EN_BLACKBOX,2026-01-19/latest_20260119_140237.html,2026-01-19 05:48:01
VIIRS,Isluga,2026-01-19 05:30:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Isluga,2026-01-18 18:42:01,EN_BLACKBOX,2026-01-19/latest_20260119_080331.html,2026-01-18 18:42:01
VIIRS,Isluga,2026-01-18 18:18:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Isluga,2026-01-18 06:12:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Isluga,2026-01-18 05:48:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Isluga,2026-01-17 19:00:01,EN_BLACKBOX,2026-01-17/latest_20260117_223235.html,2026-01-17 19:00:01
VIIRS,Isluga,2026-01-17 18:36:00,EN_BLACKBOX,2026-01-17/latest_20260117_213332.html,2026-01-17 18:36:00
VIIRS,Isluga,2026-01-17 17:18:01,EN_BLACKBOX,2026-01-17/latest_20260117_200134.html,2026-01-17 17:18:01
VIIRS,Isluga,2026-01-17 06:30:01,EN_BLACKBOX,2026-01-17/latest_20260117_100234.html,2026-01-17 06:30:01
VIIRS375,Chaiten,2026-01-19 06:00:01,EN_BLACKBOX,2026-01-19/latest_20260119_093238.html,2026-01-19 06:00:01
VIIRS375,Chaiten,2026-01-19 05:36:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS375,Chaiten,2026-01-18 19:54:00,EN_BLACKBOX,2026-01-19/latest_20260119_001735.html,2026-01-18 19:54:00
VIIRS375,Chaiten,2026-01-18 18:36:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS375,Chaiten,2026-01-18 18:12:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS375,Chaiten,2026-01-18 06:18:01,EN_BLACKBOX,2026-01-18/latest_20260118_233934.html,2026-01-18 06:18:01
VIIRS375,Chaiten,2026-01-18 05:54:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS375,Chaiten,2026-01-18 04:36:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS375,Chaiten,2026-01-17 20:12:00,EN_BLACKBOX,2026-01-17/latest_20260117_224734.html,2026-01-17 20:12:00
VIIRS375,Chaiten,2026-01-17 18:54:01,EN_BLACKBOX,2026-01-17/latest_20260117_220334.html,2026-01-17 18:54:01
VIIRS375,ChillanNevadosde,2026-01-19 05:54:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS375,ChillanNevadosde,2026-01-19 05:36:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS375,ChillanNevadosde,2026-01-18 18:36:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS375,ChillanNevadosde,2026-01-18 18:12:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS375,ChillanNevadosde,2026-01-18 06:12:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS375,ChillanNevadosde,2026-01-18 05:54:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS375,ChillanNevadosde,2026-01-18 04:36:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS375,ChillanNevadosde,2026-01-17 18:54:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS375,ChillanNevadosde,2026-01-17 06:36:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS375,ChillanNevadosde,2026-01-17 06:12:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS375,Copahue,2026-01-19 05:54:01,EN_BLACKBOX,2026-01-19/latest_20260119_091735.html,2026-01-19 05:54:01
VIIRS375,Copahue,2026-01-19 05:36:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS375,Copahue,2026-01-18 19:54:00,EN_BLACKBOX,2026-01-19/latest_20260119_001735.html,2026-01-18 19:54:00
VIIRS375,Copahue,2026-01-18 18:36:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS375,Copahue,2026-01-18 18:12:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS375,Copahue,2026-01-18 05:54:00,EN_BLACKBOX,2026-01-18/latest_20260118_233934.html,2026-01-18 05:54:00
VIIRS375,Copahue,2026-01-18 04:36:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS375,Copahue,2026-01-17 18:54:01,EN_BLACKBOX,2026-01-17/latest_20260117_220334.html,2026-01-17 18:54:01
VIIRS375,Copahue,2026-01-17 18:30:00,EN_BLACKBOX,2026-01-17/latest_20260117_213332.html,2026-01-17 18:30:00
VIIRS375,Copahue,2026-01-17 06:36:01,EN_BLACKBOX,2026-01-17/latest_20260117_130233.html,2026-01-17 06:36:01
VIIRS375,Isluga,2026-01-19 05:48:01,EN_BLACKBOX,2026-01-19/latest_20260119_091735.html,2026-01-19 05:48:01
VIIRS375,Isluga,2026-01-19 05:30:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS375,Isluga,2026-01-18 18:42:01,EN_BLACKBOX,2026-01-19/latest_20260119_001735.html,2026-01-18 18:42:01
VIIRS375,Isluga,2026-01-18 18:18:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS375,Isluga,2026-01-18 06:12:01,EN_BLACKBOX,2026-01-18/latest_20260118_233934.html,2026-01-18 06:12:01
VIIRS375,Isluga,2026-01-18 05:48:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS375,Isluga,2026-01-17 19:00:01,EN_BLACKBOX,2026-01-17/latest_20260117_220334.html,2026-01-17 19:00:01
VIIRS375,Isluga,2026-01-17 18:36:00,EN_BLACKBOX,2026-01-17/latest_20260117_213332.html,2026-01-17 18:36:00
VIIRS375,Isluga,2026-01-17 17:18:01,EN_BLACKBOX,2026-01-17/latest_20260117_194734.html,2026-01-17 17:18:01
VIIRS375,Isluga,2026-01-17 06:30:01,EN_BLACKBOX,2026-01-17/latest_20260117_130233.html,2026-01-17 06:30:01
VIIRS375,Lascar,2026-01-19 05:54:01,EN_BLACKBOX,2026-01-19/latest_20260119_091735.html,2026-01-19 05:54:01
VIIRS375,Lascar,2026-01-19 05:30:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS375,Lascar,2026-01-18 18:36:01,EN_BLACKBOX,2026-01-19/latest_20260119_001735.html,2026-01-18 18:36:01
VIIRS375,Lascar,2026-01-18 18:18:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS375,Lascar,2026-01-18 06:12:01,EN_BLACKBOX,2026-01-18/latest_20260118_233934.html,2026-01-18 06:12:01
VIIRS375,Lascar,2026-01-18 05:48:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS375,Lascar,2026-01-17 19:00:01,EN_BLACKBOX,2026-01-17/latest_20260117_220334.html,2026-01-17 19:00:01
VIIRS375,Lascar,2026-01-17 18:36:00,EN_BLACKBOX,2026-01-17/latest_20260117_213332.html,2026-01-17 18:36:00
VIIRS375,Lascar,2026-01-17 17:18:01,EN_BLACKBOX,2026-01-17/latest_20260117_194734.html,2026-01-17 17:18:01
